"Date","Weight"
"01/22/2018","183.6"
"01/21/2018","183.6"
"01/20/2018","183.6"
"01/19/2018","183.6"
"01/18/2018","183.8"
"01/17/2018","183.4"
"01/16/2018","183.4"
"01/15/2018","183.4"
"01/14/2018","184.4"
"01/13/2018","184.8"
"01/12/2018","185.8"
"01/11/2018","186.2"
"01/10/2018","187.4"
"01/09/2018","189.2"
"01/08/2018","189.4"
"01/07/2018","191.2"
"01/06/2018","190.0"
"01/05/2018","191.6"
"01/04/2018","191.8"
"01/03/2018","194.1"
"01/02/2018","194.2"
"01/01/2018","195.4"
"12/31/2017","196.6"
"12/23/2017","196.4"
"12/22/2017","193.9"
"12/21/2017","195.6"
"12/19/2017","194.0"
"12/18/2017","194.4"
"12/17/2017","194.8"
"12/16/2017","196.3"
"12/15/2017","196.5"
"12/13/2017","195.0"
"12/12/2017","196.5"
"12/11/2017","197.4"
"12/10/2017","197.6"
"12/09/2017","198.6"
"12/08/2017","199.3"
"12/07/2017","200.0"
"12/06/2017","200.5"
"12/05/2017","202.2"
"12/04/2017","202.8"
"12/03/2017","203.2"
"12/02/2017","203.3"
"12/01/2017","203.8"
"11/30/2017","204.0"
"11/29/2017","206.0"
"11/28/2017","206.6"
"11/27/2017","207.4"
"11/26/2017","208.4"
"11/25/2017","208.8"
"11/24/2017","209.2"
"11/23/2017","209.8"
"11/22/2017","211.4"
"11/21/2017","211.0"
"11/20/2017","212.0"
"11/19/2017","215.0"
"11/17/2017","212.4"
"11/16/2017","213.4"
"11/14/2017","213.8"
"11/13/2017","214.6"
"11/10/2017","216.8"
"11/09/2017","218.2"
"11/01/2017","218.2"
"10/30/2017","220.0"
"08/07/2017","206.0"
"08/06/2017","205.6"
"08/04/2017","206.6"
"07/22/2017","205.2"
"07/20/2017","206.6"
"07/19/2017","206.8"
"07/12/2017","207.6"
"06/17/2017","208.8"
"06/05/2017","208.4"
"06/04/2017","211.4"
"06/02/2017","211.8"
"06/01/2017","213.0"
"05/30/2017","213.4"
"05/29/2017","214.5"
"05/28/2017","215.2"
"05/22/2017","216.4"
"05/21/2017","218.4"
"04/02/2017","201.0"
"03/29/2017","201.8"
"03/24/2017","201.6"
"03/21/2017","203.8"
"03/14/2017","204.2"
"03/11/2017","202.2"
"03/10/2017","202.2"
"03/08/2017","203.2"
"03/07/2017","204.0"
"03/05/2017","206.2"
"03/04/2017","204.4"
"02/21/2017","203.8"
"02/18/2017","205.2"
"02/17/2017","206.0"
"02/16/2017","206.0"
"02/15/2017","207.2"
"02/14/2017","206.8"
"02/13/2017","207.2"
"02/12/2017","207.2"
"02/11/2017","207.4"
"02/10/2017","208.2"
"02/07/2017","209.6"
"02/06/2017","210.0"
"02/01/2017","209.8"
"01/25/2017","208.6"
"01/24/2017","207.2"
"01/23/2017","207.8"
"01/21/2017","209.2"
"01/20/2017","210.0"
"01/18/2017","210.4"
"01/17/2017","209.6"
"01/16/2017","211.4"
"01/03/2017","206.4"
"12/19/2016","204.6"
"11/13/2016","196.4"
"11/10/2016","197.6"
"10/27/2016","196.4"
"10/10/2016","194.4"
"10/09/2016","193.8"
"10/03/2016","194.2"
"10/02/2016","194.4"
"09/26/2016","193.0"
"09/25/2016","193.4"
"09/24/2016","194.0"
"09/23/2016","194.2"
"09/21/2016","194.8"
"09/19/2016","193.6"
"09/17/2016","193.8"
"09/14/2016","193.8"
"09/12/2016","194.8"
"09/11/2016","195.8"
"09/10/2016","198.2"
"09/09/2016","196.6"
"08/24/2016","192.4"
"08/20/2016","194.4"
"08/19/2016","197.8"
"08/14/2016","197.8"
"08/09/2016","197.0"
"08/08/2016","199.0"
"07/31/2016","198.0"
"07/30/2016","198.2"
"07/29/2016","200.2"
"07/27/2016","200.6"
"07/19/2016","199.0"
"07/18/2016","199.0"
"07/16/2016","199.2"
"07/13/2016","200.0"
"07/12/2016","201.0"
"07/11/2016","202.2"
"07/10/2016","204.0"
"07/09/2016","204.6"
"06/20/2016","204.4"
"06/17/2016","204.8"
"06/13/2016","206.0"
"06/01/2016","203.8"
"05/31/2016","203.0"
"05/30/2016","204.0"
"05/29/2016","204.0"
"05/28/2016","204.6"
"05/27/2016","204.2"
"05/26/2016","204.4"
"05/23/2016","204.8"
"05/22/2016","203.4"
"05/21/2016","204.2"
"05/19/2016","203.0"
"04/29/2016","197.7"
"03/02/2016","185.2"
"01/31/2016","189.4"
"01/26/2016","188.4"
"01/25/2016","190.4"
"01/12/2016","191.0"
"01/01/2016","190.0"
"12/30/2015","190.4"
"12/29/2015","192.6"
"12/23/2015","193.4"
"12/22/2015","194.4"
"12/21/2015","194.4"
"12/20/2015","195.2"
"12/15/2015","194.4"
"12/13/2015","195.2"
"12/12/2015","196.6"
"11/10/2015","199.0"
"10/25/2015","192.4"
"10/20/2015","193.6"
"10/16/2015","193.4"
"10/15/2015","194.2"
"10/13/2015","195.6"
"10/12/2015","196.4"
"08/27/2015","187.8"
"08/26/2015","188.3"
"08/25/2015","188.8"
"08/22/2015","188.8"
"08/18/2015","188.2"
"08/15/2015","190.4"
"08/05/2015","190.4"
"08/04/2015","192.2"
"07/04/2015","187.6"
"07/03/2015","186.5"
"06/29/2015","188.4"
"06/28/2015","188.0"
"06/27/2015","188.0"
"06/26/2015","188.2"
"06/25/2015","188.8"
"06/20/2015","191.2"
"06/18/2015","191.6"
"06/09/2015","187.6"
"03/28/2015","186.2"
"03/27/2015","185.6"
"03/26/2015","188.2"
"03/25/2015","186.2"
"03/23/2015","188.0"
"03/21/2015","189.0"
"03/19/2015","189.2"
"03/18/2015","189.5"
"03/17/2015","191.0"
"02/10/2015","188.4"
"02/09/2015","187.8"
"02/08/2015","192.0"
"02/04/2015","186.4"
"02/03/2015","189.4"
"01/30/2015","188.2"
"01/29/2015","190.0"
"01/28/2015","188.4"
"01/27/2015","188.0"
"01/26/2015","188.4"
"01/25/2015","188.0"
"01/24/2015","188.2"
"01/23/2015","189.8"
"01/22/2015","190.4"
"01/19/2015","188.2"
"01/18/2015","189.8"
"01/17/2015","189.8"
"01/15/2015","189.6"
"01/14/2015","188.6"
"01/13/2015","190.2"
"01/01/2015","191.2"
"12/29/2014","189.2"
"12/28/2014","190.2"
"12/24/2014","188.2"
"12/17/2014","186.2"
"12/09/2014","185.0"
"12/07/2014","187.0"
"12/06/2014","187.0"
"12/05/2014","187.2"
"12/04/2014","188.0"
"12/03/2014","189.4"
"12/02/2014","189.2"
"12/01/2014","190.0"
"11/29/2014","189.6"
"11/28/2014","189.8"
"11/26/2014","190.4"
"11/25/2014","191.0"
"11/24/2014","196.2"
"11/23/2014","196.0"
"08/10/2014","182.4"
"07/25/2014","178.8"
"07/24/2014","180.8"
"07/09/2014","180.4"
"06/28/2014","179.2"
"06/13/2014","183.4"
"06/12/2014","181.8"
"06/05/2014","180.8"
"06/04/2014","180.3"
"06/03/2014","183.4"
"06/02/2014","183.0"
"05/31/2014","181.0"
"05/30/2014","182.4"
"05/29/2014","183.2"
